Kanji|Russian|Utility|Use
一|один|1|2
右|правый|1|602
雨|дождь|1|950
円|иена|1|69
王|монарх|1|684
音|звук|1|491
下|низ|1|97
火|огонь|1|574
花|цветок|1|578
貝|раковина|1|1787
学|учиться|1|63
気|дух|1|113
休|отдых|1|642
玉|драгоценный камень|1|737
金|золото|1|53
九|девять|1|55
空|пустота|1|304
月|месяц|1|23
犬|собака|1|1326
見|видеть|1|22
五|пять|1|31
口|рот|1|284
校|школа|1|294
左|левый|1|630
三|три|1|14
山|гора|1|131
四|четыре|1|47
子|ребёнок|1|72
子||1|72
糸|нить|1|1488
字|иероглиф|1|485
耳|ухо|1|1328
七|семь|1|115
車|повозка|1|333
手|рука|1|60
十|десять|1|8
出|выходить|1|13
女|женщина|1|151
小|маленький|1|114
上|верх|1|35
森|лес|1|609
人|человек|1|5
水|вода|1|223
正|правильный|1|143
生|жизнь|1|29
青|голубой|1|589
石|камень|1|342
赤|красный|1|584
先|впереди|1|173
千|тысяча|1|195
川|река|1|181
早|ранний|1|402
草|трава|1|967
足|нога|1|343
村|деревня|1|253
大|большой|1|7
男|мужчина|1|240
竹|бамбук|1|593
中|середина|1|11
虫|насекомое|1|1351
町|городок|1|292
天|небо|1|512
田|рисовое поле|1|90
土|земля|1|307
二|два|1|9
日|день|1|1
入|входить|1|56
年|год|1|6
白|белый|1|483
八|восемь|1|92
百|сто|1|163
文|литература|1|190
本|книга|1|10
名|имя|1|177
木|дерево|1|317
目|глаз|1|76
夕|вечер|1|924
立|стоять|1|58
力|сила|1|62
林|лес|1|656
六|шесть|1|93
引|тянуть|2|218
羽|перья|2|748
雲|туча|2|1256
園|сад|2|628
遠|далёкий|2|887
遠||2|887
黄|жёлтый|2|1240
黄||2|1240
何|что|2|340
夏|лето|2|659
家|дом|2|133
科|отделение|2|531
歌|песня|2|519
画|картина|2|199
画|план|2|199
画||2|199
会|встреча|2|4
回|вращаться|2|50
海|море|2|200
絵|картина|2|895
外|вне|2|81
角|угол|2|805
楽|удовольствие|2|373
楽|музыка|2|373
楽||2|373
活|живой|2|171
間|интервал|2|33
丸|круглый|2|542
岩|скала|2|787
顔|лицо|2|676
帰|возвращаться|2|504
汽|пар|2|2020
記|записывать|2|149
弓|лук|2|1802
牛|корова|2|1202
魚|рыба|2|1208
京|столичный город|2|74
強|сильный|2|112
教|учить|2|166
近|близкий|2|194
兄|старший брат|2|1219
形|форма|2|418
計|измерять|2|228
元|начало|2|192
原|равнина|2|172
言|слово|2|83
古|старый|2|509
戸|дверь|2|575
午|полдень|2|154
後|после|2|26
語|язык|2|301
交|пересекаться|2|178
光|сиять|2|527
公|общественный|2|118
工|техника|2|299
広|широкий|2|263
考|думать|2|196
行|идти|2|20
高|высокий|2|65
合|соединяться|2|41
国|страна|2|3
黒|чёрный|2|573
黒||2|573
今|сейчас|2|49
才|талант|2|1497
細|мелкий|2|537
作|делать|2|103
算|вычислять|2|361
姉|старшая сестра|2|1473
市|город|2|42
思|думать|2|132
止|останавливать|2|310
紙|бумага|2|559
寺|храм|2|879
時|время|2|16
自|сам|2|19
室|комната|2|550
社|фирма|2|21
弱|слабый|2|958
首|шея|2|98
秋|осень|2|635
週|неделя|2|540
春|весна|2|579
書|писать|2|169
少|мало|2|287
場|место|2|52
色|цвет|2|621
食|еда|2|328
心|сердце|2|157
新|новый|2|51
親|родители|2|406
図|чертёж|2|539
図||2|539
数|число|2|148
星|звезда|2|844
晴|ясная погода|2|1022
声|голос|2|388
西|запад|2|259
切|резать|2|324
雪|снег|2|1131
線|линия|2|382
船|судно|2|713
前|перед|2|27
組|группа|2|204
走|бежать|2|626
多|много|2|139
太|толстый|2|552
体|тело|2|88
台|подставка|2|262
谷|долина|2|508
知|знание|2|205
地|земля|2|40
池|пруд|2|827
茶|чай|2|1116
昼|дневное время|2|1115
朝|утро|2|248
長|длинный|2|12
鳥|птица|2|1043
直|прямой|2|246
通|проходить|2|80
弟|младший брат|2|1161
店|магазин|2|378
点|точка|2|165
電|электричество|2|268
冬|зима|2|1090
刀|катана|2|1794
東|восток|2|37
当|данный|2|91
答|ответ|2|486
頭|голова|2|433
同|одинаковый|2|15
道|дорога|2|207
読|читать|2|618
内|внутри|2|44
南|юг|2|341
肉|мясо|2|986
馬|лошадь|2|639
買|покупать|2|520
売|продавать|2|202
麦|хлебные злаки|2|1615
半|половина|2|224
番|черёд|2|348
番||2|348
父|отец|2|646
風|ветер|2|558
分|доля|2|24
分|минута|2|24
分|процент|2|24
分||2|24
聞|слышать|2|319
米|рис|2|61
歩|ходить|2|554
母|мать|2|570
方|сторона|2|46
