Japanese|Romaji|English|Utility|Type
一|ICHI|one|1|
一つ の|hitotsu no|one; the same|1|
一つ に|hitotsu ni|first of all; firstly|1|
一つ|hitotsu|once; a little; just|1|
一|ITSU|one  [and the same]|1|
一に|ITSUNI|entirely; solely; partially; in a part|1|
一々|ICHIICHI|one by one; every single one; in full detail|1|
右 の|migi no|right|1|
雨|ame|rain; rainfall; figurative:  shower (of bullets etc.)|1|
円|EN|geom. circle; yen|1|
円|maru|circle|1|
円い|marui|round|1|
円か な|madoka na|eleg: round; quiet; tranquil|1|
円やか な|maroyaka na|round; mellow; smooth|1|
円ら な|tsubura na|lit:  round; rotand|1|
王|OU|king; monarch; shogi  king|1|
音|ON|sound; reading of a kanji|1|
音|oto|sound; noise; bound  fame|1|
音 が する|oto ga suru|make sound|1|
音|ne|sound; to|1|
下|shita|lower part; bottom|1|
下 に|shita ni|below|1|
下 から|shita kara|from below|1|
下 の|shita no|lower; subordinate; lower; younger; under  smth.|1|
下|shimo|lower part; bottom; foot; lower stream; inferiors; the governed; the masses; lower part of the body; the genitals|1|
下 の|shimo no|lower|1|
下 に|moto ni|under; by; on|1|
下|GE|low class (grade), inferiority; nd volume (of two); 3 rd volume (of three)|1|
下げる|sageru|lower; drop; let down; bring down; reduce; hang out; put up (a signboard); wear (a decoration); bear (a sword); move back; push back; pull back; let  smb. go away; dismiss; take away; remove (dishes etc.); grant (a license etc.); draw (money from a bank)|1|
下げ|sage|lowering; reducing; the point (of a joke), the punch line|1|
お下げ|osage|hair hanging down from the back|1|
下がる|sagaru|hang down; dangle from  smth.; fall down (as of trousers etc.); go down; come down; fall; drop; sink down; drop behind; fall off; leave; withdraw; retire; step back|1|
下がる が|sagaru ga|be granted (a license etc.)|1|
下がり|sagari|lowering; sagging; fall; decline; depreciation; decorative apron of a sumo wrestler|1|
お下がり|osagari|clothes handed down from one's older  brother  or  sister; hand  me  down; Shinto  former offering withdrawn back; leavings; left  over food|1|
下る|kudaru|go (come; get) down; drop; be less (below; inferior); go down (away from the capital); be given; be issued (as of an order etc.); have loose bowels; retire; leave one's post; surrender; deteriorate|1|
下って|kudatte|later; down to  some  time; epist. as for me|1|
下り|kudari|going down; descent; downhill; train from the capital; diarrhea|1|
下らない|kudaranai|trifling; insignificant; worthless; rubbishy; absurd; senseless; silly|1|
下す|kudasu|let (bring; move) down; lower; give (to an inferior), grant; bestow; give (a command); issue (orders); pass (judgement), hand down (a decision); have loose bowels; do  smth. with one's own hands|1|
下さる|kudasaru|honor. give; confer; after a verb in '  te' form indicates that  the action is performed for the benefit  of the speaker|1|
下さい|kudasai|please|1|
下し|kudashi|purgation; evacuation|1|
下りる|oriru|go (come; step; climb; get) down; descend; fall (as of a curtain etc.); swoop; drop down; alight; land (as of birds; aircrafts etc.); be discharged (from the body); abort; be granted; be issued (as of licenses etc.)|1|
下ろす|orosu|bring (take; bring; pull; let) down; drop; unload; lower; get (a boat) on the water; withdraw (one's savings); wear for the first time; have an abortion  [performed]; grate (vegetables); slice (fish) into pieces; invoke (a spirit); math. bring down (in multiplication); borrow (in subtraction); Shinto  bring back (one's former  offering to deites)|1|
下ろし|oroshi|grater; grated radish; Shinto  former offering withdrawn back|1|
下々|shimojimo|informal:  lower classes; common people|1|
火|hi|fire; flame; light; illumination|1|
火|KA|abbrev. Tuesday|1|
花|hana|flower; blossom; cherry blossoms; fig. flower of  smth., essence; spirit; flower arrangement; ikebana; bound  fair woman; beauty; tip; geisha's fee|1|
花 の|hana no|floral|1|
花やか な|hanayaka na|flowery; bright; gorgeous|1|
花やぐ|hanayagu|be happy; feel younger; flourish; grow prosperous|1|
貝|kai|shellfish; shell|1|
学|GAKU|studies; learning; science|1|
学ぶ|manabu|learn; study|1|
気|KI|air; vapor; gas; literal or figurative:  atmosphere; spirit; mind; feeling; mood; numerous bound meanings|1|
気|KE|sign; indication; trace; symptom|1|
気さく|kisaku|frank; candid; sociable|1|
休む|yasumu|rest; take a rest; not attend; be absent|1|
休み|yasumi|rest; break; day off; vacation|1|
休める|yasumeru|give a rest; set at ease; give relief to|1|
休まる|yasumaru|be relieved|1|
休らう|yasurau|rest; relax|1|
お休みなさい|oyasuminasai|Good night|1|
玉|tama|gem; jewel; precious thing; ball; sphere; bulb; bead; [electric]  bulb; lens; informal:  egg; informal:  testicles; slang  person; bound  cat's paw; smb. 's  instrument|1|
玉|GYOKU|gem; jewel; jade; stock market  engagements; stock bought (sold); time charge (for a geisha); informal:  egg; shogi  king|1|
金|kane|money; metal|1|
お金|okane|money|1|
金|KIN|gold; abbrev. Friday; shogi  the Gold|1|
九|KYUU;KU|nine|1|
九つ|kokonotsu|nine|1|
九々|KUKU|multiplication table|1|
空|KUU|emptiness; Buddh. Sunyata; sky; air|1|
空|sora|sky; airspace|1|
空 で|sora de|from memory; by heart|1|
空 の|kara no|empty; hollow; vacant|1|
空っぽ な|karappo na|informal:|1|
空っぽ の|karappo no|empty; hollow; vacant|1|
空き|aki|vacancy; blank space; aperture; gap|1|
空ける|akeru|clear; empty; vacate; make room; bound  make (bore; drill) a hole|1|
空く|aku|be empty (vacant; free; available); have a gap; have an aperture; expire; be over|1|
空く|suku|be empty (vacant; free; available); have a gap; have an aperture; expire; be over|1|
空しい|munashii|empty; void; vain; futile; lifeless; dead|1|
空々しい|sorazorashii|feigned; hypocritical; transparent; evident|1|
空ろ|utsuro|cavity; hollow|1|
空ろ な|utsuro na|hollow; empty; vacant; blank|1|
空ろ|uro|cavity; hollow|1|
空け|utsuke|absentmindedness; woolgathering; simpleton; blockhead; fool|1|
月|tsuki|moon; month|1|
月 の|tsuki no|lunar|1|
月|GETSU|abbrev. Monday|1|
月々|tsukiduki|every month|1|
犬|inu|dog; fig. derog. spy|1|
犬ころ|inukoro|puppy|1|
見る|miru|look at; watch; see; observe; consider; regard as; after '  te'  form of a verb    try|1|
見える|mieru|be able to see; be visible; be in sight; look like; seem; appear|1|
見せる|miseru|show; let see; make look like; give an air of|1|
見え|mie|appearance; ostenation; show; pose; posture (in Kabuki theater)|1|
見みえる|mamieru|have an audience with  smb.; see; meet; serve one's husband|1|
見せしめ|miseshime|object lesson; warning|1|
見せびらかす|misebirakasu|display; flaunt|1|
見っともない|mittomonai|unsightly; ugly; indecent|1|
見てくれ|mitekure|appearance|1|
見そのわす|misonowasu|honor. deign to have a look at  smth.|1|
五|GO|five|1|
五つ|itsutsu|five|1|
口|kuchi|mouth; lips; speech; words; one's taste; mouth to feed; aperture; nozzle; plug; stopper; entrance; exit; beginning; job; position; vacancy; share; lot; kind; sort|1|
口 に する|kuchi ni suru|taste; eat; have; take; speak of  smth., mention|1|
口 で|kuchi de|by word of mouth; orally|1|
口々|kuchiguchi|each entrance  [and each exit]|1|
口々 に|kuchiguchi ni|severally; unanimously|1|
校|KOU|>  abbrev.; school; proofreading|1|
左 の|hidari no|left|1|
三|SAN|three|1|
三つ|mitsu;mittsu|three|1|
山|yama|mountain; forest; mine; heap; pile; crown of a hat; climax; turning point; speculation|1|
山々|yamayama|mountains; plenty; very much|1|
四|SHI;yon|four|1|
四つ|yotsu;yottsu|four|1|
子|ko|child; youngster|1|
子|ne|the Rat (1 st sign of Chise Zodiac); arch:  north; arch:  pm  am|1|
お子さん|okosan|honor. your (his; her) child|1|
糸|ito|thread; yarn; filament|1|
字|JI|character; letter; handwriting|1|
字|aza|village or town section with its own name|1|
字|azana|village or town section with its own name; pseudonym; alias; nickname|1|
耳|mimi|ear[s]; hearing|1|
七|SHICHI;nana|seven|1|
七つ|nanatsu;nana|seven|1|
車|kuruma|car; wheeled vehicle; wheel|1|
手|te|hand; hands; labor force; worker; work; efforts; trouble; hand; handwriting; handle; way; method; means; trick; skill; ability; sort; kind; line; move (in board games)|1|
手 も なく|te mo naku|easily|1|
手ぶら|tebura|empty  handed|1|
手ずから|tezukara|with one's own hands; personally|1|
十|JUU;too|ten|1|
出る|deru|go out; leave; depart; come out; appear; come from; originate; graduate; stick out; protrude; exceed; take part (in a competition etc.); attend; serve (in a company etc.); come out (as a result), work out; sell; be in demand; be found|1|
出す|dasu|put out; push out; take out; give out; produce; pay; expose; exhibit; send; forward; post; publish; print|1|
出|de|coming out; appearance; one's origin; outlay; expenditure; sale; mand; crop; yield; beginning; start|1|
出でる|ideru|obsolete:  go out|1|
出し|dashi|broth; stock; pretext; excuse; cat's  paw; dummy; tool|1|
